[2017-05-05 14:36:12.776920] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:12.793548] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:12.814326] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:12.817586] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:12.858240] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:12.859780] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:12.862281] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:12.874151] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:12.919910] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:12.921737] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:12.923608] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:12.925028] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:12.926325] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:12.928315] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:12.929350] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:12.932156] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:12.968205] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-05-05 14:36:12.971376] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-05-05 14:36:12.973569] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-05-05 14:36:12.975676] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-05-05 14:36:12.977590] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-05-05 14:36:12.979468] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-05-05 14:36:12.981404] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:12.982650] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:12.984519] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:12.986624] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:12.988316] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:12.990178] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:12.992490] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:12.994546] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:12.998675] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:13.000613] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:13.002525] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:13.004393] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:13.006161] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:13.007910] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-05-05 14:36:13.009725] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-05-05 14:36:13.011498] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:13.013401] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:13.015198] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:13.017013] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:13.018843] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:13.020543] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:13.022289] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:13.024472] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:13.026367] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:13.028822] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:13.030645] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:13.033728] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:13.035784] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:13.037797] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:13.048463] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:13.050858] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:13.052816] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:13.054651] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:13.056582] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:13.057950] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:13.058990] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:13.061642] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:13.063543] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:13.065382] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:13.067389] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:13.069329] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:13.072107] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:13.074552] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:13.078655] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:13.082477] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:13.085720] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:13.087718] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:13.092007] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:13.093922] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:13.097552] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:42.775927] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:42.788228] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:42.806140] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:42.829284] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:42.831378] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:42.834092] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:42.835439] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-05-05 14:36:42.888303] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:01 | packet count 2 | byte count 196
[2017-05-05 14:36:42.894947] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:42.896239] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:42.897692] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:42.899204] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:42.900046] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:42.948357] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:42.949555] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:42.951449] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:42.953292] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:42.955308] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:42.957430] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:42.961239] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:42.989547] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-05-05 14:36:42.991796] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-05-05 14:36:42.993501] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
