[2017-04-28 12:52:05.238583] dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-04-28 12:52:05.247712] dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-04-28 12:52:05.249960] dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-04-28 12:52:05.259440] dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-04-28 12:52:05.262103] dl_dst  00:00:00:00:00:07 | packet count 1 | byte count 98
[2017-04-28 12:52:05.264239] dl_dst  00:00:00:00:00:06 | packet count 1 | byte count 98
[2017-04-28 12:52:05.270727] dl_dst  00:00:00:00:00:08 | packet count 1 | byte count 98
[2017-04-28 12:52:05.272137] dl_dst  00:00:00:00:00:09 | packet count 4 | byte count 392
[2017-04-28 12:52:05.275354] dl_dst  00:00:00:00:00:05 | packet count 1 | byte count 98
[2017-04-28 12:52:15.239495] dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-04-28 12:52:15.245803] dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-04-28 12:52:15.248126] dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-04-28 12:52:15.260540] dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-04-28 12:52:15.263921] dl_dst  00:00:00:00:00:07 | packet count 1 | byte count 98
[2017-04-28 12:52:15.265805] dl_dst  00:00:00:00:00:06 | packet count 1 | byte count 98
[2017-04-28 12:52:15.269370] dl_dst  00:00:00:00:00:09 | packet count 4 | byte count 392
[2017-04-28 12:52:15.271931] dl_dst  00:00:00:00:00:08 | packet count 1 | byte count 98
[2017-04-28 12:52:15.273417] dl_dst  00:00:00:00:00:05 | packet count 1 | byte count 98
[2017-04-28 12:52:25.240130] dl_dst  00:00:00:00:00:01 | packet count 0 | byte count 0
[2017-04-28 12:52:25.244079] dl_dst  00:00:00:00:00:02 | packet count 0 | byte count 0
[2017-04-28 12:52:25.247662] dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-04-28 12:52:25.256229] dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-04-28 12:52:25.264402] dl_dst  00:00:00:00:00:07 | packet count 1 | byte count 98
[2017-04-28 12:52:25.266125] dl_dst  00:00:00:00:00:06 | packet count 1 | byte count 98
[2017-04-28 12:52:25.268508] dl_dst  00:00:00:00:00:05 | packet count 1 | byte count 98
[2017-04-28 12:52:25.270149] dl_dst  00:00:00:00:00:09 | packet count 4 | byte count 392
[2017-04-28 12:52:25.272736] dl_dst  00:00:00:00:00:08 | packet count 1 | byte count 98
[2017-04-28 12:52:35.240472] dl_dst  00:00:00:00:00:01 | packet count 2 | byte count 196
[2017-04-28 12:52:35.246848] dl_dst  00:00:00:00:00:02 | packet count 2 | byte count 196
[2017-04-28 12:52:35.255055] dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-04-28 12:52:35.264767] dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-04-28 12:52:35.268282] dl_dst  00:00:00:00:00:07 | packet count 1 | byte count 98
[2017-04-28 12:52:35.270070] dl_dst  00:00:00:00:00:05 | packet count 1 | byte count 98
[2017-04-28 12:52:35.275017] dl_dst  00:00:00:00:00:09 | packet count 4 | byte count 392
[2017-04-28 12:52:35.276867] dl_dst  00:00:00:00:00:08 | packet count 1 | byte count 98
[2017-04-28 12:52:35.280002] dl_dst  00:00:00:00:00:06 | packet count 1 | byte count 98
[2017-04-28 12:52:45.241555] dl_dst  00:00:00:00:00:01 | packet count 2 | byte count 196
[2017-04-28 12:52:45.249113] dl_dst  00:00:00:00:00:02 | packet count 2 | byte count 196
[2017-04-28 12:52:45.250455] dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-04-28 12:52:45.262752] dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-04-28 12:52:45.266010] dl_dst  00:00:00:00:00:09 | packet count 4 | byte count 392
[2017-04-28 12:52:45.268379] dl_dst  00:00:00:00:00:05 | packet count 1 | byte count 98
[2017-04-28 12:52:45.271628] dl_dst  00:00:00:00:00:07 | packet count 1 | byte count 98
[2017-04-28 12:52:45.272718] dl_dst  00:00:00:00:00:08 | packet count 1 | byte count 98
[2017-04-28 12:52:45.274794] dl_dst  00:00:00:00:00:06 | packet count 1 | byte count 98
[2017-04-28 12:52:55.241659] dl_dst  00:00:00:00:00:01 | packet count 2 | byte count 196
[2017-04-28 12:52:55.249865] dl_dst  00:00:00:00:00:02 | packet count 2 | byte count 196
[2017-04-28 12:52:55.251606] dl_dst  00:00:00:00:00:03 | packet count 0 | byte count 0
[2017-04-28 12:52:55.262962] dl_dst  00:00:00:00:00:04 | packet count 0 | byte count 0
[2017-04-28 12:52:55.264450] dl_dst  00:00:00:00:00:05 | packet count 1 | byte count 98
[2017-04-28 12:52:55.267764] dl_dst  00:00:00:00:00:07 | packet count 1 | byte count 98
[2017-04-28 12:52:55.268964] dl_dst  00:00:00:00:00:09 | packet count 4 | byte count 392
